epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,72.5087,1.5718,3.78211,0.84993,0.20695,0.06105,0.03158,0.01782,1.30931,0.77127,0.73777,0.00995074,0.00331691,0.00995074,0.00331691,0.00995074,0.00331691,0.00995074,0.00331691
2,137.812,0.80274,0.86622,0.30713,0.23533,0.24909,0.13771,0.07239,0.7402,0.83951,0.31846,0.0199497,0.00664991,0.0199497,0.00664991,0.0199497,0.00664991,0.0199497,0.00664991
3,201.599,0.8443,0.74249,0.29074,0.15428,0.23399,0.12323,0.05479,0.85375,0.77827,0.37292,0.0299447,0.00998156,0.0299447,0.00998156,0.0299447,0.00998156,0.0299447,0.00998156
4,265.567,0.85228,0.71223,0.29514,0.21538,0.19935,0.13611,0.06299,0.83963,0.87125,0.3781,0.0299864,0.00999546,0.0299864,0.00999546,0.0299864,0.00999546,0.0299864,0.00999546
5,329.395,0.8469,0.70325,0.28522,0.24574,0.25603,0.16429,0.07274,0.82847,0.72739,0.35171,0.0299758,0.00999193,0.0299758,0.00999193,0.0299758,0.00999193,0.0299758,0.00999193
6,393.217,0.83177,0.6825,0.27988,0.23693,0.2609,0.16029,0.07761,0.79822,0.72236,0.31511,0.0299622,0.00998739,0.0299622,0.00998739,0.0299622,0.00998739,0.0299622,0.00998739
7,457.031,0.80015,0.6991,0.26515,0.24919,0.23184,0.15991,0.06866,0.87656,0.68272,0.33739,0.0299455,0.00998184,0.0299455,0.00998184,0.0299455,0.00998184,0.0299455,0.00998184
8,521.288,0.79829,0.68506,0.26372,0.22454,0.30601,0.18278,0.0878,0.71999,0.79593,0.29749,0.0299259,0.00997529,0.0299259,0.00997529,0.0299259,0.00997529,0.0299259,0.00997529
9,585.528,0.80833,0.67613,0.26387,0.2713,0.31365,0.21071,0.10486,0.69935,0.77937,0.29428,0.0299032,0.00996773,0.0299032,0.00996773,0.0299032,0.00996773,0.0299032,0.00996773
10,649.779,0.78952,0.66941,0.2566,0.26443,0.32875,0.21018,0.10559,0.66722,0.76862,0.27414,0.0298775,0.00995918,0.0298775,0.00995918,0.0298775,0.00995918,0.0298775,0.00995918
